file_id,file_name,file_size,sha256_checksum,md5_checksum,technique,file_type,archive,archive_uri,project,cell_specimen_id
541549258,541549258.marker,786,1cd5d6a0a4c4736b3a2fa1b92c25ba019bbfba56fe7d876de1e72553b93298d3,8a20768e94628fb5b4a5dc6c503b165b,morphology,marker_swc,BIL,ftp://download.brainlib.org:8811/biccn/lein/pseq/morph/200526/541549258.marker,hIVSCC-MET,541549258
541557114,541557114.marker,609,42e75ed5470b6b0860f60d92817b59273f4b21b08d8e5ec7e72a3779fffb6de8,a7af6d625b22300a8e5c328bdb401c0d,morphology,marker_swc,BIL,ftp://download.brainlib.org:8811/biccn/lein/pseq/morph/200526/541557114.marker,hIVSCC-MET,541557114
569835804,569835804.marker,458,0e1a1887ca5d9f39c49dfdbb68492f27441f79d096ade3f1d5f4c01b5505e4e5,adf2cdd2bd88a6dcfa0c2c271c26cb8c,morphology,marker_swc,BIL,ftp://download.brainlib.org:8811/biccn/lein/pseq/morph/200526/569835804.marker,hIVSCC-MET,569835804
569860121,569860121.marker,645,aa2d618715a15418388ab60bef87bc34f417c4fff694aa0aaf2aad11b327b57f,9513d98cbdc96a507bdb231d8d79b2b1,morphology,marker_swc,BIL,ftp://download.brainlib.org:8811/biccn/lein/pseq/morph/200526/569860121.marker,hIVSCC-MET,569860121
571732727,571732727.marker,1503,a681c3d4fcab6132762c53c23488ed21f20e2575cbd2a4f27ca577624ccfacb1,59d89b47db1fc757f93f929606871910,morphology,marker_swc,BIL,ftp://download.brainlib.org:8811/biccn/lein/pseq/morph/200526/571732727.marker,hIVSCC-MET,571732727
576110753,576110753.marker,275,eaa37e3376b929abe0c58980d88854147f2a951e6b0e9567da46bd0599b9ebb2,1247c90ce2087bebfba614efff47740e,morphology,marker_swc,BIL,ftp://download.brainlib.org:8811/biccn/lein/pseq/morph/200526/576110753.marker,hIVSCC-MET,576110753
576118161,576118161.marker,535,bc15abd50a55897ee1c06231bd169bff408b04140c63360e19953f83202e12dd,a08128b55daf035f4c591e9ba93ddce1,morphology,marker_swc,BIL,ftp://download.brainlib.org:8811/biccn/lein/pseq/morph/200526/576118161.marker,hIVSCC-MET,576118161
576134298,576134298.marker,1280,d5bf632aa94f323836f229f22f7a01687630330d7fdf9b56fffb771d612267db,6197b8020798996ad65a6e83a2b3491b,morphology,marker_swc,BIL,ftp://download.brainlib.org:8811/biccn/lein/pseq/morph/200526/576134298.marker,hIVSCC-MET,576134298
576140393,576140393.marker,1570,b46f35b5deea8952109c3dce973c4fdea21f1f48685a0a3911aa9e3f23a3608d,7f3bf531fd9da414f6905e2edc48169c,morphology,marker_swc,BIL,ftp://download.brainlib.org:8811/biccn/lein/pseq/morph/200526/576140393.marker,hIVSCC-MET,576140393
592532014,592532014.marker,219,d84edec7baa59b5a8850601ea33f0b4a6fe5f8dce5ba487fac5c141998b9bd41,30a4c31e9e428298f4908d6b32a41032,morphology,marker_swc,BIL,ftp://download.brainlib.org:8811/biccn/lein/pseq/morph/200526/592532014.marker,hIVSCC-MET,592532014
595572609,595572609.marker,600,f09bb9c5f5cc7b13ac0ec617f080c314a4a97d7638a46c765d3a223591cc5e39,819e937cb7833f540bf567b46caf1ab5,morphology,marker_swc,BIL,ftp://download.brainlib.org:8811/biccn/lein/pseq/morph/200526/595572609.marker,hIVSCC-MET,595572609
595583062,595583062.marker,249,3277f5aa6cc7a6e37033dfd5277f4c663911453d8a9933322f98fb0c4faf55f2,6db5bb457522e408d8184826ce993b2a,morphology,marker_swc,BIL,ftp://download.brainlib.org:8811/biccn/lein/pseq/morph/200526/595583062.marker,hIVSCC-MET,595583062
596898838,596898838.marker,487,d1ee28b7bc230b6a4289a42ccb0c30f798653f76b8c5f73ca2fb6e67d7afc25b,f1167a0b0260fd4c536b86ec4bddb118,morphology,marker_swc,BIL,ftp://download.brainlib.org:8811/biccn/lein/pseq/morph/200526/596898838.marker,hIVSCC-MET,596898838
602165685,602165685.marker,323,56ffeef448af150feb183cbded57dba024a88dd27ced0ffdb82cf6070c5af838,c03487452849fbf1c08eee3225b38743,morphology,marker_swc,BIL,ftp://download.brainlib.org:8811/biccn/lein/pseq/morph/200526/602165685.marker,hIVSCC-MET,602165685
653040833,653040833.marker,326,46674e6a7a5aa733d0d93287e005d51d2d06b3f3a687df8e536a597b61b1410d,ca9e5d5bbc52d0a1c293bbe02f5e63a9,morphology,marker_swc,BIL,ftp://download.brainlib.org:8811/biccn/lein/pseq/morph/200526/653040833.marker,hIVSCC-MET,653040833
653804581,653804581.marker,438,c9f2c9dde9a1a5b42089d70a4d680a0515ca36936c020c28cfef264971154d0f,77324deb0440029fb78b31ccfe3fafec,morphology,marker_swc,BIL,ftp://download.brainlib.org:8811/biccn/lein/pseq/morph/200526/653804581.marker,hIVSCC-MET,653804581
653854241,653854241.marker,1343,90777e264b3908f289173e3b1db0a786496ff817e3f94c6141bd9325e9cd034a,ef8b21c3a05e6d57dc26b7589f6a3cb7,morphology,marker_swc,BIL,ftp://download.brainlib.org:8811/biccn/lein/pseq/morph/200526/653854241.marker,hIVSCC-MET,653854241
654180841,654180841.marker,540,2abd7fbf7b978be8bf28c013bec073c0ad6d3c1b4a35fd92cb268f6f61044812,6fe386e36f6bc9004ed03ebb5462dee4,morphology,marker_swc,BIL,ftp://download.brainlib.org:8811/biccn/lein/pseq/morph/200526/654180841.marker,hIVSCC-MET,654180841
665713811,665713811.marker,651,668319e2d26caa16db1969b8c0df92ede310aff5aeca510958214ace592e0a33,29d4bd89475b6307514f690f6e90d6bd,morphology,marker_swc,BIL,ftp://download.brainlib.org:8811/biccn/lein/pseq/morph/200526/665713811.marker,hIVSCC-MET,665713811
677088033,677088033.marker,397,6a670949f81bd3bf3a34048ef5f565de5fabeb58c10bb044fcb4cbb34e9e4c8f,af06d22f259a18591d55993b36a04783,morphology,marker_swc,BIL,ftp://download.brainlib.org:8811/biccn/lein/pseq/morph/200526/677088033.marker,hIVSCC-MET,677088033
