project,cell_specimen_id,cell_specimen_name,hemisphere,structure,donor_id,donor_name,biological_sex,age,ethnicity,medical_conditions,full_genotype,dendrite_type,apical_dendrite_status,neuron_reconstruction_type,cell_soma_normalized_depth,depth_from_pia_um,ephys_session_id,transcriptomics_sample_id,transcriptomics_batch
mIVSCC-MET,601506507,Vip-IRES-Cre;Ai14-331294.04.01.01,left,VISpm4,331294,Vip-IRES-Cre;Ai14-331294,M,P55,,,Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt,sparsely spiny,NA,full,0.361014514,,601506492,PS0810_E1-50_S88,BT035
mIVSCC-MET,601790961,Sst-IRES-Cre;Ai14-331663.04.01.01,left,VISpm5,331663,Sst-IRES-Cre;Ai14-331663,F,P57,,,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt,aspiny,NA,full,0.621829352,,601790945,PS0817_E1-50_S19,BT036
mIVSCC-MET,601803754,Sst-IRES-Cre;Ai14-331663.04.02.02,right,VISp2/3,331663,Sst-IRES-Cre;Ai14-331663,F,P57,,,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt,sparsely spiny,NA,full,0.164239963,,601803733,PS0817_E1-50_S25,BT036
mIVSCC-MET,601808698,Sst-IRES-Cre;Ai14-331663.04.02.03,right,VISp5,331663,Sst-IRES-Cre;Ai14-331663,F,P57,,,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt,aspiny,NA,full,0.483030289,,601808619,PS0817_E1-50_S26,BT036
mIVSCC-MET,601810307,Sst-IRES-Cre;Ai14-331663.04.02.04,right,VISp2/3,331663,Sst-IRES-Cre;Ai14-331663,F,P57,,,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt,aspiny,NA,full,0.295656295,,601810292,PS0817_E1-50_S27,BT036
mIVSCC-MET,601811091,Sst-IRES-Cre;Ai14-331663.03.01.01,left,VISp6a,331663,Sst-IRES-Cre;Ai14-331663,F,P57,,,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt,aspiny,NA,full,0.766594576,,601811076,PS0817_E1-50_S28,BT036
mIVSCC-MET,602231708,Sst-IRES-Cre;Ai14-331660.06.02.01,right,VISp5,331660,Sst-IRES-Cre;Ai14-331660,M,P59,,,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt,aspiny,NA,full,0.589005051,,602231628,PS0817_E1-50_S46,BT036
mIVSCC-MET,602535278,Sst-IRES-Cre;Ai14-331657.04.02.01,right,VISp2/3,331657,Sst-IRES-Cre;Ai14-331657,M,P60,,,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt,aspiny,NA,full,0.397545508,,602535253,PS0817_E1-50_S52,BT036
mIVSCC-MET,604626221,Vip-IRES-Cre;Ai14-336703.04.02.01,right,VISp4,336703,Vip-IRES-Cre;Ai14-336703,M,P51,,,Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt,aspiny,NA,,0.45911459,,604626206,PS0830_E1-50_S17,BT038
mIVSCC-MET,604646725,Vip-IRES-Cre;Ai14-336703.04.02.03,right,VISp2/3,336703,Vip-IRES-Cre;Ai14-336703,M,P51,,,Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt,aspiny,NA,full,0.3044429,,604646572,PS0830_E1-50_S19,BT038
mIVSCC-MET,605060256,Vip-IRES-Cre;Ai14-336139.04.01.04,left,VISal4,336139,Vip-IRES-Cre;Ai14-336139,M,P54,,,Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt,aspiny,NA,full,0.416261743,,605059999,PS0830_E1-50_S24,BT038
mIVSCC-MET,605160536,Vip-IRES-Cre;Ai14-336139.05.02.02,right,VISp2/3,336139,Vip-IRES-Cre;Ai14-336139,M,P54,,,Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt,aspiny,NA,full,0.222147422,,605160446,PS0830_E1-50_S26,BT038
mIVSCC-MET,606098116,Vipr2-IRES2-Cre;Slc32a1-T2A-FlpO;Ai65-337417.04.02.02,right,VISp2/3,337417,Vipr2-IRES2-Cre;Slc32a1-T2A-FlpO;Ai65-337417,M,P55,,,Vipr2-IRES2-Cre/wt;Slc32a1-T2A-FlpO/wt;Ai65(RCFL-tdT)/wt,aspiny,NA,full,0.281891345,,606098055,PS0830_E1-50_S70,BT038
mIVSCC-MET,606271263,Vipr2-IRES2-Cre;Slc32a1-T2A-FlpO;Ai65-337416.05.01.01,left,VISp2/3,337416,Vipr2-IRES2-Cre;Slc32a1-T2A-FlpO;Ai65-337416,M,P56,,,Vipr2-IRES2-Cre/wt;Slc32a1-T2A-FlpO/wt;Ai65(RCFL-tdT)/wt,aspiny,NA,full,0.17944989,,606271245,PS0830_E1-50_S83,BT038
mIVSCC-MET,606308411,Vipr2-IRES2-Cre;Slc32a1-T2A-FlpO;Ai65-337416.05.01.03,left,VISam2/3,337416,Vipr2-IRES2-Cre;Slc32a1-T2A-FlpO;Ai65-337416,M,P56,,,Vipr2-IRES2-Cre/wt;Slc32a1-T2A-FlpO/wt;Ai65(RCFL-tdT)/wt,aspiny,NA,full,0.171680017,,606308251,PS0830_E1-50_S85,BT038
