project,cell_specimen_id,cell_specimen_name,hemisphere,structure,donor_id,donor_name,biological_sex,age,ethnicity,medical_conditions,full_genotype,dendrite_type,apical_dendrite_status,neuron_reconstruction_type,cell_soma_normalized_depth,depth_from_pia_um,ephys_session_id,transcriptomics_sample_id,transcriptomics_batch
mIVSCC-MET,611497391,Vip-IRES-Cre;Ai14-342915.04.02.01,right,VISp2/3,342915,Vip-IRES-Cre;Ai14-342915,M,P47,,,Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt,aspiny,NA,,0.225690512,,611497338,PS0921_E1-50_S06,BT040
mIVSCC-MET,612271508,Chat-IRES-Cre-neo;Ai14-341889.05.02.02,right,VISp2/3,341889,Chat-IRES-Cre-neo;Ai14-341889,F,P54,,,Chat-IRES-Cre-neo/wt;Ai14(RCL-tdT)/wt,aspiny,NA,,0.255892218,,612271479,PS0921_E1-50_S12,BT040
mIVSCC-MET,612893105,Chat-IRES-Cre-neo;Ai14-341890.04.02.02,right,VISp2/3,341890,Chat-IRES-Cre-neo;Ai14-341890,F,P55,,,Chat-IRES-Cre-neo/wt;Ai14(RCL-tdT)/wt,aspiny,NA,,0.143796377,,612893090,PS0921_E1-50_S26,BT040
mIVSCC-MET,613432876,Chat-IRES-Cre-neo;Ai14-341891.04.02.01,right,VISp2/3,341891,Chat-IRES-Cre-neo;Ai14-341891,F,P56,,,Chat-IRES-Cre-neo/wt;Ai14(RCL-tdT)/wt,aspiny,NA,,0.171291175,,613432846,PS0921_E1-50_S33,BT040
mIVSCC-MET,614728680,Pvalb-IRES-Cre;Ai14-344090.04.01.01,left,VISp5,344090,Pvalb-IRES-Cre;Ai14-344090,F,P51,,,Pvalb-IRES-Cre/wt;Ai14(RCL-tdT)/wt,aspiny,NA,full,0.604392274,,614728579,PS0921_E1-50_S34,BT040
mIVSCC-MET,623326230,Sst-IRES-Cre;Ai14-346778.03.02.01,right,VISp2/3,346778,Sst-IRES-Cre;Ai14-346778,M,P49,,,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt,aspiny,NA,full,0.292879196,,623326214,SM-GE62S_S105_E1-50,RSC-122
mIVSCC-MET,623326953,Sst-IRES-Cre;Ai14-346778.03.02.02,right,VISp2/3,346778,Sst-IRES-Cre;Ai14-346778,M,P49,,,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt,aspiny,NA,,,,623326928,SM-GE62S_S106_E1-50,RSC-122
mIVSCC-MET,623415197,Sst-IRES-Cre;Ai14-346780.04.02.01,right,VISp2/3,346780,Sst-IRES-Cre;Ai14-346780,M,P50,,,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt,aspiny,NA,full,0.190213546,,623415006,SM-GE62S_S110_E1-50,RSC-122
mIVSCC-MET,623434306,Sst-IRES-Cre;Ai14-346780.04.02.02,right,VISp2/3,346780,Sst-IRES-Cre;Ai14-346780,M,P50,,,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt,aspiny,NA,full,0.231416533,,623434287,SM-GE62S_S111_E1-50,RSC-122
mIVSCC-MET,623813235,Sst-IRES-Cre;Ai14-346782.05.02.01,right,VISp5,346782,Sst-IRES-Cre;Ai14-346782,F,P51,,,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt,aspiny,NA,,,,623813080,SM-GE62S_S113_E1-50,RSC-122
mIVSCC-MET,623891125,Sst-IRES-Cre;Ai14-346782.04.02.01,right,VISp2/3,346782,Sst-IRES-Cre;Ai14-346782,F,P51,,,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt,aspiny,NA,,,,623891110,SM-GE62S_S116_E1-50,RSC-122
mIVSCC-MET,623945953,Sst-IRES-Cre;Ai14-346782.03.01.01,left,VISp2/3,346782,Sst-IRES-Cre;Ai14-346782,F,P51,,,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt,aspiny,NA,,,,623945666,SM-GE62S_S118_E1-50,RSC-122
mIVSCC-MET,623989470,Sst-IRES-Cre;Ai14-346782.03.01.02,left,VISp6a,346782,Sst-IRES-Cre;Ai14-346782,F,P51,,,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt,aspiny,NA,,,,623989197,SM-GE62S_S119_E1-50,RSC-122
mIVSCC-MET,626069976,Sst-IRES-Cre;Ai14-346783.05.02.01,right,VISpm4,346783,Sst-IRES-Cre;Ai14-346783,F,P52,,,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt,aspiny,NA,,,,626069887,SM-GE62S_S123_E1-50,RSC-122
mIVSCC-MET,626082009,Sst-IRES-Cre;Ai14-346783.05.02.02,right,VISam5,346783,Sst-IRES-Cre;Ai14-346783,F,P52,,,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt,aspiny,NA,,,,626081013,SM-GE62S_S124_E1-50,RSC-122
mIVSCC-MET,626103966,Sst-IRES-Cre;Ai14-346783.05.02.03,right,VISam4,346783,Sst-IRES-Cre;Ai14-346783,F,P52,,,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt,aspiny,NA,,,,626103744,SM-GE62S_S125_E1-50,RSC-122
mIVSCC-MET,626153003,Sst-IRES-Cre;Ai14-346783.03.02.01,right,VISp5,346783,Sst-IRES-Cre;Ai14-346783,F,P52,,,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt,aspiny,NA,full,0.684141822,,626152964,SM-GE62S_S126_E1-50,RSC-122
mIVSCC-MET,627876797,Sst-IRES-Cre;Ai14-346784.03.01.01,left,VISp2/3,346784,Sst-IRES-Cre;Ai14-346784,F,P53,,,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt,aspiny,NA,,,,627876610,SM-GE63V_S097_E1-50,RSC-123
mIVSCC-MET,627881581,Sst-IRES-Cre;Ai14-346784.03.01.02,left,VISp4,346784,Sst-IRES-Cre;Ai14-346784,F,P53,,,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt,aspiny,NA,full,0.416706237,,627881560,SM-GE63V_S098_E1-50,RSC-123
mIVSCC-MET,627883518,Sst-IRES-Cre;Ai14-346784.03.01.03,left,VISp5,346784,Sst-IRES-Cre;Ai14-346784,F,P53,,,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt,aspiny,NA,,,,627883502,SM-GE63V_S099_E1-50,RSC-123
mIVSCC-MET,636854912,Sst-IRES-Cre;Ai14-346909.04.02.01,right,VISp5,346909,Sst-IRES-Cre;Ai14-346909,M,P57,,,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt,aspiny,NA,,,,636854897,SM-GE63V_S131_E1-50,RSC-123
mIVSCC-MET,636856236,Sst-IRES-Cre;Ai14-346909.04.02.02,right,VISpm5,346909,Sst-IRES-Cre;Ai14-346909,M,P57,,,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt,aspiny,NA,,,,636856220,SM-GE63V_S132_E1-50,RSC-123
mIVSCC-MET,636946168,Chrna2-Cre_OE25;Ai14-347064.04.02.01,right,VISp6a,347064,Chrna2-Cre_OE25;Ai14-347064,F,P55,,,Chrna2-Cre_OE25/wt;Ai14(RCL-tdT)/wt,aspiny,NA,,,,636946141,SM-GE63V_S146_E1-50,RSC-123
mIVSCC-MET,637321656,Vip-IRES-Cre;Ai14-348727.03.02.01,right,VISp2/3,348727,Vip-IRES-Cre;Ai14-348727,M,P48,,,Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt,aspiny,NA,,,,637321403,SM-GE63V_S161_E1-50,RSC-123
mIVSCC-MET,637327988,Vip-IRES-Cre;Ai14-348727.04.01.01,left,VISp2/3,348727,Vip-IRES-Cre;Ai14-348727,M,P48,,,Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt,aspiny,NA,,,,637327686,SM-GE63V_S153_E1-50,RSC-123
mIVSCC-MET,637329085,Vip-IRES-Cre;Ai14-348727.03.02.02,right,VISp2/3,348727,Vip-IRES-Cre;Ai14-348727,M,P48,,,Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt,aspiny,NA,,,,637328829,SM-GE63V_S162_E1-50,RSC-123
mIVSCC-MET,637362685,Oxtr-T2A-Cre;Ai14-347157.04.02.01,right,VISp2/3,347157,Oxtr-T2A-Cre;Ai14-347157,F,P56,,,Oxtr-T2A-Cre/wt;Ai14(RCL-tdT)/wt,aspiny,NA,,,,637362669,SM-GE63V_S163_E1-50,RSC-123
mIVSCC-MET,637365495,Vip-IRES-Cre;Ai14-348727.04.01.03,left,VISp2/3,348727,Vip-IRES-Cre;Ai14-348727,M,P48,,,Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt,aspiny,NA,,,,637365476,SM-GE63V_S155_E1-50,RSC-123
mIVSCC-MET,637379909,Oxtr-T2A-Cre;Ai14-347157.04.01.01,left,VISpm5,347157,Oxtr-T2A-Cre;Ai14-347157,F,P56,,,Oxtr-T2A-Cre/wt;Ai14(RCL-tdT)/wt,aspiny,NA,,,,637379889,SM-GE63V_S156_E1-50,RSC-123
mIVSCC-MET,637381329,Oxtr-T2A-Cre;Ai14-347157.04.01.03,left,VISp1,347157,Oxtr-T2A-Cre;Ai14-347157,F,P56,,,Oxtr-T2A-Cre/wt;Ai14(RCL-tdT)/wt,aspiny,NA,,,,637381314,SM-GE63V_S158_E1-50,RSC-123
mIVSCC-MET,637824948,Htr3a-Cre_NO152;Ai14-349020.05.01.01,left,VISp2/3,349020,Htr3a-Cre_NO152;Ai14-349020,M,P47,,,Htr3a-Cre_NO152/wt;Ai14(RCL-tdT)/wt,aspiny,NA,,,,637824933,SM-GE63V_S181_E1-50,RSC-123
mIVSCC-MET,637846989,Htr3a-Cre_NO152;Ai14-349020.05.01.02,left,VISp2/3,349020,Htr3a-Cre_NO152;Ai14-349020,M,P47,,,Htr3a-Cre_NO152/wt;Ai14(RCL-tdT)/wt,aspiny,NA,full,0.13693756,,637846912,SM-GE63V_S182_E1-50,RSC-123
mIVSCC-MET,637853303,Htr3a-Cre_NO152;Ai14-349020.05.01.03,left,VISp2/3,349020,Htr3a-Cre_NO152;Ai14-349020,M,P47,,,Htr3a-Cre_NO152/wt;Ai14(RCL-tdT)/wt,aspiny,NA,,,,637853288,SM-GE63V_S183_E1-50,RSC-123
mIVSCC-MET,637866154,Htr3a-Cre_NO152;Ai14-349020.06.02.01,right,VISp5,349020,Htr3a-Cre_NO152;Ai14-349020,M,P47,,,Htr3a-Cre_NO152/wt;Ai14(RCL-tdT)/wt,aspiny,NA,,,,637866126,SM-GE63V_S192_E1-50,RSC-123
mIVSCC-MET,637879731,Htr3a-Cre_NO152;Ai14-347843.05.01.01,left,VISp2/3,347843,Htr3a-Cre_NO152;Ai14-347843,M,P53,,,Htr3a-Cre_NO152/wt;Ai14(RCL-tdT)/wt,aspiny,NA,,,,637879633,SM-GE63V_S184_E1-50,RSC-123
mIVSCC-MET,637886938,Htr3a-Cre_NO152;Ai14-347843.05.01.02,left,VISp2/3,347843,Htr3a-Cre_NO152;Ai14-347843,M,P53,,,Htr3a-Cre_NO152/wt;Ai14(RCL-tdT)/wt,aspiny,NA,,,,637886883,SM-GE63V_S185_E1-50,RSC-123
mIVSCC-MET,637919747,Pvalb-IRES-Cre;Ai14-347579.04.02.02,right,VISp4,347579,Pvalb-IRES-Cre;Ai14-347579,F,P54,,,Pvalb-IRES-Cre/wt;Ai14(RCL-tdT)/wt,aspiny,NA,,,,637919731,SM-GE63O_S004_E1-50,RSC-124
mIVSCC-MET,638176297,Vip-IRES-Cre;Ai14-348725.04.01.02,left,VISp5,348725,Vip-IRES-Cre;Ai14-348725,M,P50,,,Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt,aspiny,NA,,,,638176282,SM-GE63O_S006_E1-50,RSC-124
mIVSCC-MET,638205354,Oxtr-T2A-Cre;Ai14-347159.04.01.01,left,VISpm1,347159,Oxtr-T2A-Cre;Ai14-347159,F,P58,,,Oxtr-T2A-Cre/wt;Ai14(RCL-tdT)/wt,aspiny,NA,,,,638205339,SM-GE63O_S008_E1-50,RSC-124
mIVSCC-MET,638212024,Oxtr-T2A-Cre;Ai14-347159.04.01.02,left,VISp2/3,347159,Oxtr-T2A-Cre;Ai14-347159,F,P58,,,Oxtr-T2A-Cre/wt;Ai14(RCL-tdT)/wt,aspiny,NA,full,0.114190205,,638212009,SM-GE63O_S009_E1-50,RSC-124
mIVSCC-MET,638225388,Oxtr-T2A-Cre;Ai14-347159.04.01.03,left,VISp2/3,347159,Oxtr-T2A-Cre;Ai14-347159,F,P58,,,Oxtr-T2A-Cre/wt;Ai14(RCL-tdT)/wt,aspiny,NA,,,,638225093,SM-GE63O_S010_E1-50,RSC-124
mIVSCC-MET,638356222,Pvalb-IRES-Cre;Ai14-349028.04.02.03,right,VISp5,349028,Pvalb-IRES-Cre;Ai14-349028,M,P51,,,Pvalb-IRES-Cre/wt;Ai14(RCL-tdT)/wt,aspiny,NA,,,,638356193,SM-GE63O_S031_E1-50,RSC-124
mIVSCC-MET,638356259,Slc32a1-IRES-Cre;Ai14-347203.06.02.01,right,VISp4,347203,Slc32a1-IRES-Cre;Ai14-347203,M,P60,,,Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt,aspiny,NA,,,,638356240,SM-GE63O_S036_E1-50,RSC-124
mIVSCC-MET,638366507,Slc32a1-IRES-Cre;Ai14-347203.04.02.01,right,VISp5,347203,Slc32a1-IRES-Cre;Ai14-347203,M,P60,,,Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt,aspiny,NA,,,,638366259,SM-GE63O_S034_E1-50,RSC-124
mIVSCC-MET,638775149,Slc32a1-IRES-Cre;Ai14-347204.05.02.01,right,VISpm2/3,347204,Slc32a1-IRES-Cre;Ai14-347204,F,P61,,,Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt,aspiny,NA,,,,638775123,SM-GE63O_S037_E1-50,RSC-124
mIVSCC-MET,638782470,Slc32a1-IRES-Cre;Ai14-347204.06.01.01,left,VISp5,347204,Slc32a1-IRES-Cre;Ai14-347204,F,P61,,,Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt,aspiny,NA,,,,638782455,SM-GE63O_S056_E1-50,RSC-124
mIVSCC-MET,639002031,Vip-IRES-Cre;Ai14-351462.05.02.01,right,VISp4,351462,Vip-IRES-Cre;Ai14-351462,F,P43,,,Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt,aspiny,NA,,,,639002016,SM-GE63O_S065_E1-50,RSC-124
mIVSCC-MET,639004612,Vip-IRES-Cre;Ai14-351462.05.02.02,right,VISpm2/3,351462,Vip-IRES-Cre;Ai14-351462,F,P43,,,Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt,aspiny,NA,full,0.316463718,,639004554,SM-GE63O_S066_E1-50,RSC-124
mIVSCC-MET,639005493,Vip-IRES-Cre;Ai14-351462.04.02.02,right,VISp2/3,351462,Vip-IRES-Cre;Ai14-351462,F,P43,,,Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt,aspiny,NA,,,,639005473,SM-GE63O_S072_E1-50,RSC-124
mIVSCC-MET,639013022,Vip-IRES-Cre;Ai14-351462.04.01.01,left,VISp2/3,351462,Vip-IRES-Cre;Ai14-351462,F,P43,,,Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt,aspiny,NA,full,0.161293406,,639012999,SM-GE63O_S060_E1-50,RSC-124
mIVSCC-MET,639016154,Slc32a1-IRES-Cre;Ai14-347205.05.02.01,right,VISp4,347205,Slc32a1-IRES-Cre;Ai14-347205,F,P62,,,Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt,aspiny,NA,,,,639016139,SM-GE63O_S068_E1-50,RSC-124
mIVSCC-MET,639018115,Vip-IRES-Cre;Ai14-351462.04.01.02,left,VISp5,351462,Vip-IRES-Cre;Ai14-351462,F,P43,,,Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt,aspiny,NA,,,,639018100,SM-GE63O_S061_E1-50,RSC-124
mIVSCC-MET,639018814,Slc32a1-IRES-Cre;Ai14-347205.05.02.02,right,VISp5,347205,Slc32a1-IRES-Cre;Ai14-347205,F,P62,,,Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt,aspiny,NA,,,,639018799,SM-GE63O_S069_E1-50,RSC-124
mIVSCC-MET,639210975,Slc32a1-IRES-Cre;Ai14-348997.04.02.01,right,VISp2/3,348997,Slc32a1-IRES-Cre;Ai14-348997,M,P54,,,Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt,aspiny,NA,,,,639210886,SM-GE63H_S098_E1-50,RSC-125
mIVSCC-MET,639212193,Slc32a1-IRES-Cre;Ai14-348997.05.02.01,right,VISp2/3,348997,Slc32a1-IRES-Cre;Ai14-348997,M,P54,,,Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt,aspiny,NA,,,,639211955,SM-GE63H_S101_E1-50,RSC-125
mIVSCC-MET,639216491,Slc32a1-IRES-Cre;Ai14-348997.04.02.02,right,VISp2/3,348997,Slc32a1-IRES-Cre;Ai14-348997,M,P54,,,Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt,aspiny,NA,,,,639216476,SM-GE63H_S099_E1-50,RSC-125
mIVSCC-MET,639216521,Slc32a1-IRES-Cre;Ai14-348997.05.02.02,right,VISpm1,348997,Slc32a1-IRES-Cre;Ai14-348997,M,P54,,,Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt,aspiny,NA,,,,639216506,SM-GE63H_S102_E1-50,RSC-125
mIVSCC-MET,639226535,Slc32a1-IRES-Cre;Ai14-348997.04.02.03,right,VISp2/3,348997,Slc32a1-IRES-Cre;Ai14-348997,M,P54,,,Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt,aspiny,NA,,,,639226360,SM-GE63H_S100_E1-50,RSC-125
mIVSCC-MET,639380048,Vip-IRES-Cre;Ai14-351458.05.02.01,right,VISpm2/3,351458,Vip-IRES-Cre;Ai14-351458,M,P45,,,Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt,aspiny,NA,,,,639380033,SM-GE63H_S126_E1-50,RSC-125
mIVSCC-MET,639380495,Vip-IRES-Cre;Ai14-351458.03.01.01,left,VISpm2/3,351458,Vip-IRES-Cre;Ai14-351458,M,P45,,,Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt,aspiny,NA,,,,639380378,SM-GE63H_S120_E1-50,RSC-125
mIVSCC-MET,639389307,Vip-IRES-Cre;Ai14-351458.05.02.02,right,VISam2/3,351458,Vip-IRES-Cre;Ai14-351458,M,P45,,,Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt,aspiny,NA,,,,639389033,SM-GE63H_S127_E1-50,RSC-125
mIVSCC-MET,639390023,Vip-IRES-Cre;Ai14-351458.04.02.01,right,VISp5,351458,Vip-IRES-Cre;Ai14-351458,M,P45,,,Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt,aspiny,NA,,,,639389976,SM-GE63H_S132_E1-50,RSC-125
mIVSCC-MET,639395418,Vip-IRES-Cre;Ai14-351458.03.01.02,left,VISp2/3,351458,Vip-IRES-Cre;Ai14-351458,M,P45,,,Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt,aspiny,NA,,0.272698597,,639395403,SM-GE63H_S121_E1-50,RSC-125
mIVSCC-MET,639398242,Vip-IRES-Cre;Ai14-351458.03.01.03,left,VISp2/3,351458,Vip-IRES-Cre;Ai14-351458,M,P45,,,Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt,aspiny,NA,,,,639398095,SM-GE63H_S122_E1-50,RSC-125
mIVSCC-MET,639671955,Gad2-IRES-Cre;Ai14-350672.06.02.01,right,VISp5,350672,Gad2-IRES-Cre;Ai14-350672,F,P49,,,Gad2-IRES-Cre/wt;Ai14(RCL-tdT)/wt,aspiny,NA,,,,639671843,SM-GE63H_S152_E1-50,RSC-125
mIVSCC-MET,639674270,Chrna2-Cre_OE25;Ai14-351067.04.02.01,right,VISp5,351067,Chrna2-Cre_OE25;Ai14-351067,M,P46,,,Chrna2-Cre_OE25/wt;Ai14(RCL-tdT)/wt,aspiny,NA,full,0.767271333,,639674215,SM-GE63H_S142_E1-50,RSC-125
mIVSCC-MET,639689311,Chrna2-Cre_OE25;Ai14-351067.04.02.02,right,VISpm6a,351067,Chrna2-Cre_OE25;Ai14-351067,M,P46,,,Chrna2-Cre_OE25/wt;Ai14(RCL-tdT)/wt,aspiny,NA,,,,639688773,SM-GE63H_S143_E1-50,RSC-125
mIVSCC-MET,639689999,Gad2-IRES-Cre;Ai14-350672.03.01.01,left,VISl2/3,350672,Gad2-IRES-Cre;Ai14-350672,F,P49,,,Gad2-IRES-Cre/wt;Ai14(RCL-tdT)/wt,aspiny,NA,,,,639689600,SM-GE63H_S147_E1-50,RSC-125
mIVSCC-MET,639695961,Chrna2-Cre_OE25;Ai14-351067.04.01.01,left,VISp4,351067,Chrna2-Cre_OE25;Ai14-351067,M,P46,,,Chrna2-Cre_OE25/wt;Ai14(RCL-tdT)/wt,aspiny,NA,,,,639695946,SM-GE63H_S135_E1-50,RSC-125
mIVSCC-MET,639701690,Chrna2-Cre_OE25;Ai14-351067.04.01.02,left,VISp5,351067,Chrna2-Cre_OE25;Ai14-351067,M,P46,,,Chrna2-Cre_OE25/wt;Ai14(RCL-tdT)/wt,aspiny,NA,,,,639701642,SM-GE63H_S136_E1-50,RSC-125
mIVSCC-MET,639708328,Chrna2-Cre_OE25;Ai14-351067.03.02.01,right,VISp5,351067,Chrna2-Cre_OE25;Ai14-351067,M,P46,,,Chrna2-Cre_OE25/wt;Ai14(RCL-tdT)/wt,sparsely spiny,NA,full,0.734785746,,639708214,SM-GE63H_S144_E1-50,RSC-125
mIVSCC-MET,639796648,Gad2-IRES-Cre;Ai14-350674.04.01.01,left,VISli2/3,350674,Gad2-IRES-Cre;Ai14-350674,F,P50,,,Gad2-IRES-Cre/wt;Ai14(RCL-tdT)/wt,aspiny,NA,,,,639796633,SM-GE63H_S169_E1-50,RSC-125
mIVSCC-MET,639797308,Gad2-IRES-Cre;Ai14-350674.04.02.01,right,VISp2/3,350674,Gad2-IRES-Cre;Ai14-350674,F,P50,,,Gad2-IRES-Cre/wt;Ai14(RCL-tdT)/wt,aspiny,NA,full,0.276069697,,639797293,SM-GE63H_S165_E1-50,RSC-125
mIVSCC-MET,639808649,Gad2-IRES-Cre;Ai14-350674.06.02.01,right,VISp5,350674,Gad2-IRES-Cre;Ai14-350674,F,P50,,,Gad2-IRES-Cre/wt;Ai14(RCL-tdT)/wt,aspiny,NA,,,,639808631,SM-GE63H_S175_E1-50,RSC-125
